year,county_fips,county_name,ndvi_mean
2010,149,Plymouth,0.7998789605224561
2010,193,Woodbury,0.7838380270935188
2010,027,Carroll,0.8145376406444406
2010,061,Dubuque,0.7841381111849594
2010,101,Jefferson,0.7749206741990203
2010,187,Webster,0.788663997147774
2010,111,Lee,0.7302903541738112
2010,127,Marshall,0.8204107757026002
2010,195,Worth,0.8244853724086276
2010,033,Cerro Gordo,0.7917899188263484
2010,051,Davis,0.7849266907087867
2010,179,Wapello,0.7670643647448837
2010,041,Clay,0.7924675930835967
2010,059,Dickinson,0.7511978431968672
2010,021,Buena Vista,0.7965697853405239
2010,013,Black Hawk,0.7812735121422062
2010,075,Grundy,0.823991244444431
2010,017,Bremer,0.8060434232300908
2010,085,Harrison,0.7938214136118003
2010,129,Mills,0.7937285292180711
2010,155,Pottawattamie,0.7888038407804019
2010,123,Mahaska,0.7550163860571293
2010,125,Marion,0.7180721037693828
2010,053,Decatur,0.7803018341789336
2010,031,Cedar,0.7846137658740996
2010,151,Pocahontas,0.7941661172515417
2010,109,Kossuth,0.8052795810541754
2010,089,Howard,0.8202127171052979
2010,147,Palo Alto,0.7840189298150204
2010,159,Ringgold,0.7747333577851983
2010,025,Calhoun,0.795011875916527
2010,039,Clarke,0.7774701254578353
2010,065,Fayette,0.807358798362767
2010,001,Adair,0.7791758376103851
2010,037,Chickasaw,0.8230581710334497
2010,081,Hancock,0.8018133632110839
2010,157,Poweshiek,0.786622836226715
2010,165,Shelby,0.8199303857100939
2010,185,Wayne,0.7601001892968137
2010,097,Jackson,0.794083987295424
2010,043,Clayton,0.8057969005521198
2010,007,Appanoose,0.7454395463143166
2010,177,Van Buren,0.7788726422772576
2010,197,Wright,0.7692698590252941
2010,137,Montgomery,0.7938710008099109
2010,175,Union,0.7661908627417616
2010,107,Keokuk,0.7677967517234408
2010,131,Mitchell,0.8236625516662187
2010,191,Winneshiek,0.8172254243538078
2010,161,Sac,0.818125031428105
2010,055,Delaware,0.8088795188035324
2010,067,Floyd,0.8141813442885282
2010,009,Audubon,0.7979316588580285
2010,079,Hamilton,0.8031075827889576
2010,069,Franklin,0.8057531340916949
2010,141,O'Brien,0.7994847578385434
2010,167,Sioux,0.8085304524190516
2010,005,Allamakee,0.8128536843066234
2010,189,Winnebago,0.8157324791423258
2010,093,Ida,0.823124962292736
2010,029,Cass,0.791942411043811
2010,083,Hardin,0.8232897982875139
2010,173,Taylor,0.7693522815741042
2010,145,Page,0.7900130060792548
2010,035,Cherokee,0.8067923132362411
2010,071,Fremont,0.7785747406620526
2010,095,Iowa,0.7908658984191329
2010,023,Butler,0.8174215300795442
2010,063,Emmet,0.7888727054206061
2010,047,Crawford,0.8308489837495711
2010,019,Buchanan,0.8036172943635796
2010,143,Osceola,0.8000387035030783
2010,073,Greene,0.7993464651243167
2010,087,Henry,0.7552376730921929
2010,119,Lyon,0.8077897249930871
2010,003,Adams,0.7758512481797214
2010,133,Monona,0.7963839481596219
2010,091,Humboldt,0.7782979391941065
2010,115,Louisa,0.7685922155191283
2010,171,Tama,0.8062305936266086
2010,135,Monroe,0.786751117586749
2010,117,Lucas,0.7750540385550106
2010,057,Des Moines,0.745843508892382
2010,011,Benton,0.8126772766802578
2010,113,Linn,0.7793987788627937
2010,105,Jones,0.7900327436634461
2010,103,Johnson,0.764995047817773
2010,183,Washington,0.7746920253894805
2010,045,Clinton,0.7779733363879505
2010,163,Scott,0.743145121033525
2010,139,Muscatine,0.764057876511431
2010,169,Story,0.7913144810377012
2010,015,Boone,0.7938329668959909
2010,121,Madison,0.7867251471230693
2010,181,Warren,0.768849662692244
2010,049,Dallas,0.7839629909577372
2010,153,Polk,0.7042200963325307
2010,077,Guthrie,0.7934626924840162
2010,099,Jasper,0.7909190706486049
2011,149,Plymouth,0.7849200770753457
2011,193,Woodbury,0.7591767926101671
2011,027,Carroll,0.8096146743308751
2011,061,Dubuque,0.7764928840266027
2011,101,Jefferson,0.7408373849441776
2011,187,Webster,0.8127120291930123
2011,111,Lee,0.7353864537747704
2011,127,Marshall,0.79208731708397
2011,195,Worth,0.7994729558107484
2011,033,Cerro Gordo,0.787751911707758
2011,051,Davis,0.7521674065879049
2011,179,Wapello,0.7682622847511071
2011,041,Clay,0.7714978689745967
2011,059,Dickinson,0.7300598038925353
2011,021,Buena Vista,0.7938041277532324
2011,013,Black Hawk,0.7649701109298677
2011,075,Grundy,0.8063051453304029
2011,017,Bremer,0.8124821585317025
2011,085,Harrison,0.7663032918024282
2011,129,Mills,0.7588406518210918
2011,155,Pottawattamie,0.7578988806318909
2011,123,Mahaska,0.7807389793620737
2011,125,Marion,0.7285338765536831
2011,053,Decatur,0.7888223644108497
2011,031,Cedar,0.7901888333343025
2011,151,Pocahontas,0.8080876443618069
2011,109,Kossuth,0.8004553846796174
2011,089,Howard,0.798204621959511
2011,147,Palo Alto,0.7763395133240117
2011,159,Ringgold,0.7782201324109861
2011,025,Calhoun,0.8130103609451953
2011,039,Clarke,0.7721198131623823
2011,065,Fayette,0.8026988560191042
2011,001,Adair,0.7771121407585198
2011,037,Chickasaw,0.8083807178159574
2011,081,Hancock,0.804095337373023
2011,157,Poweshiek,0.7938131835085556
2011,165,Shelby,0.8007721987267963
2011,185,Wayne,0.7772560661901405
2011,097,Jackson,0.7854199068249615
2011,043,Clayton,0.8052901347989787
2011,007,Appanoose,0.7488997308583072
2011,177,Van Buren,0.7504164443895152
2011,197,Wright,0.8133757971281741
2011,137,Montgomery,0.7848259453372142
2011,175,Union,0.766065468354968
2011,107,Keokuk,0.7750741130243288
2011,131,Mitchell,0.8009647593002898
2011,191,Winneshiek,0.7970772765488199
2011,161,Sac,0.7973044603577387
2011,055,Delaware,0.8070336480218868
2011,067,Floyd,0.8101258185232171
2011,009,Audubon,0.8005941686168294
2011,079,Hamilton,0.80675849939997
2011,069,Franklin,0.8175518775048212
2011,141,O'Brien,0.7952268015242416
2011,167,Sioux,0.7958911142668434
2011,005,Allamakee,0.7890700443029246
2011,189,Winnebago,0.8022773962721641
2011,093,Ida,0.7966832407625031
2011,029,Cass,0.7939048063450029
2011,083,Hardin,0.8154595250776072
2011,173,Taylor,0.784289364547404
2011,145,Page,0.7880727307639207
2011,035,Cherokee,0.8059526728427397
2011,071,Fremont,0.7009416369849636
2011,095,Iowa,0.789930592540869
2011,023,Butler,0.8118672263844827
2011,063,Emmet,0.7732733914626113
2011,047,Crawford,0.8088151931104297
2011,019,Buchanan,0.8024782483774945
2011,143,Osceola,0.8066838070515809
2011,073,Greene,0.821682700562412
2011,087,Henry,0.7513980200740998
2011,119,Lyon,0.7973357843965396
2011,003,Adams,0.776845534065608
2011,133,Monona,0.7504548981053898
2011,091,Humboldt,0.8161069545042212
2011,115,Louisa,0.7594456000703776
2011,171,Tama,0.7912207769217912
2011,135,Monroe,0.7864532736119418
2011,117,Lucas,0.784461376055064
2011,057,Des Moines,0.7506007791008354
2011,011,Benton,0.7891166490791126
2011,113,Linn,0.7637721674326512
2011,105,Jones,0.7933282782678847
2011,103,Johnson,0.7571243190275626
2011,183,Washington,0.7586151819230358
2011,045,Clinton,0.7716031357892548
2011,163,Scott,0.7484603546907079
2011,139,Muscatine,0.7688138967296734
2011,169,Story,0.7846676616368062
2011,015,Boone,0.8036364076110623
2011,121,Madison,0.7737533527820533
2011,181,Warren,0.7611718976588053
2011,049,Dallas,0.7762803063447365
2011,153,Polk,0.7050755780554332
2011,077,Guthrie,0.7933602585367209
