year,state_fips,state_alpha,county_fips,county_name,yield_bu_acre,ndvi_jun,ndvi_jul,precip_sum_jun,precip_sum_jul,tmean_jun,tmean_jul,tmax_jun,tmax_jul,tmin_jun,tmin_jul,soil_moisture_jun,soil_moisture_jul,soil_organic_carbon,soil_ph,soil_clay_pct,soil_sand_pct,soil_water_content_33kpa,elevation_m,slope_deg,pct_continuous
2013,17,IL,001,ADAMS,42.1,0.6298198681531473,0.6788466105676814,61.52004183326314,50.643776120434374,22.621871274147587,23.72373488441603,27.668941593008103,29.33796683455688,17.575776654780665,18.11048643465455,0.3265460409220052,0.2087000705841728,2.6583604150529183,61.74997143147954,21.63778863278405,14.486260862578574,24.109011228736723,201.1288649904863,3.109852193771446,0.0100157109190887
2015,17,IL,027,CLINTON,59.7,0.5416498750940161,0.664559418649941,235.1293623098971,78.59442259293377,24.161907818851176,25.004537973855108,28.7250706555303,29.774226539820205,19.59972279956725,20.235828889699853,0.4576603026353474,0.4464256264138442,2.4037556990320263,60.864069616463304,18.631030024866373,14.342203105225138,23.416615750703023,138.42610169639795,1.8582164511982109,0.0
2013,17,IL,037,DE KALB,70.2,0.6836963331955929,0.6838280373439043,183.10311792379073,50.00931679061608,20.181335370008114,21.955886159825884,25.5191736433446,27.289755938145085,14.844488373957256,16.62296820554952,0.3529820986486087,0.243166270339415,5.133728151970578,63.17602215578883,21.729065174160883,29.90354045677271,22.34426953648977,252.94204200918867,1.8452151683740377,0.0074682234414354
2021,17,IL,037,DE KALB,78.8,0.6355504417053804,0.6739953532893747,143.23547767885455,64.87153392221171,22.611341975901446,22.025359753144183,28.541415287455752,27.18713098175086,16.780486569115435,16.8637296638875,0.2750322002233793,0.3054968402179073,5.133728151970578,63.17602215578883,21.729065174160883,29.90354045677271,22.34426953648977,252.94204200918867,1.8452151683740377,0.0026361766134951
2022,17,IL,037,DE KALB,73.0,0.6447916985585893,0.6195758536317584,71.52977790708894,120.13100021211092,21.189815749377708,22.128154770535048,27.460936568786774,27.491974390628652,14.91883574284606,16.764479154313783,0.3159154054291651,0.2813916109764255,5.133728151970578,63.17602215578883,21.729065174160883,29.90354045677271,22.34426953648977,252.94204200918867,1.8452151683740377,0.0025927017986233
2023,17,IL,037,DE KALB,91.1,0.5714427756304671,0.6405707205995269,40.06753981405437,160.41968775262143,20.326889367189843,22.073556574175743,27.269100566978594,27.955334003121663,13.384821092354072,16.191921937830518,0.1748089507721518,0.2650871386494845,5.133728151970578,63.17602215578883,21.729065174160883,29.90354045677271,22.34426953648977,252.94204200918867,1.8452151683740377,0.0
2024,17,IL,037,DE KALB,92.5,0.6335017193993827,0.6503247938731744,118.54425931374188,160.6399026723951,22.453418976808383,21.920417737629865,28.31595021664642,27.219161542694312,16.59088784330791,16.62167375271387,0.3053994702702097,0.3138916486410925,5.133728151970578,63.17602215578883,21.729065174160883,29.90354045677271,22.34426953648977,252.94204200918867,1.8452151683740377,0.0215565825067628
2025,17,IL,037,DE KALB,99.8,0.634426760932508,0.67759111338525,78.34715737555692,139.3319235117283,22.597513339261535,23.972295665838615,28.614057628893303,29.48320614180749,16.580969047785114,18.461350791296173,0.3030154365807604,0.2922340099917787,5.133728151970578,63.17602215578883,21.729065174160883,29.90354045677271,22.34426953648977,252.94204200918867,1.8452151683740377,0.0042551061273528
2011,17,IL,075,IROQUOIS,72.1,0.5842044283321038,0.6475718292757896,111.73758659157184,55.50245620848453,22.006826733696673,25.837077062878375,27.662169686302,31.806522646131427,16.35249190341522,19.86861122047715,0.3518879535833212,0.2308786096956462,4.153499671337348,63.48942676956941,25.928106694409156,27.268638271186916,23.056299085699195,203.4780698799007,1.746051631975748,0.0110006255257651
2013,17,IL,075,IROQUOIS,78.0,0.6356759078650747,0.7155512066996348,85.31783673822217,31.607060087247593,21.35525979214243,22.172307005698823,27.030980384618015,27.67056247020675,15.68052661934006,16.67504064139301,0.3341679467235122,0.2752755622573543,4.153499671337348,63.48942676956941,25.928106694409156,27.268638271186916,23.056299085699195,203.4780698799007,1.746051631975748,0.0037376054407809
2013,17,IL,091,KANKAKEE,69.7,0.6599530481737913,0.6873262043447612,103.34765073323112,24.78245383779688,20.910797255212096,22.223665389116334,26.376999259001423,27.62374584406238,15.445569882126197,16.824588959122003,0.2804616345262785,0.2174547805454713,4.161752693729512,63.511627958165526,22.857714565241945,34.55118707106259,23.00478670957526,198.44025905412488,1.9843409740207405,0.0069463739927757
2011,17,IL,105,LIVINGSTON,76.8,0.5877543403773033,0.6283022255388402,103.74587960425596,67.26734838775737,22.16278338245724,26.19856823829154,27.55430451570163,32.10357080633876,16.772261591800994,20.29455478507322,0.364543277664285,0.2395499643031842,4.770108823181307,63.56301469013758,26.91398679235341,21.76447693108642,23.37993649985729,209.0325817551304,1.7515446079985737,0.0021788167743258
2016,17,IL,105,LIVINGSTON,76.8,0.5739489690408818,0.6924644011864752,126.59910910350553,196.01123468080996,22.956025135734812,23.60622747934091,29.292257563620396,28.564908851288127,16.620793586681668,18.648547053180557,0.2783306994965362,0.2757021408550635,4.770108823181307,63.56301469013758,26.91398679235341,21.76447693108642,23.37993649985729,209.0325817551304,1.7515446079985737,0.0051381766525282
2021,17,IL,105,LIVINGSTON,87.1,0.6549361407257241,0.7063444108596098,192.8954970075794,73.48410451195504,23.55940523232236,23.11014555382048,29.207423609616313,27.95269009525883,17.84341769867368,18.267743585565405,0.3211328224025799,0.3418790355441194,4.770108823181307,63.56301469013758,26.91398679235341,21.76447693108642,23.37993649985729,209.0325817551304,1.7515446079985737,0.0
2023,17,IL,105,LIVINGSTON,85.7,0.5462558999721894,0.6762570150252178,38.34008725550965,127.18261094531934,21.46302859496028,22.868756670013234,28.78474639551828,28.99429427694784,14.141452722669491,16.74336207204981,0.1864321648125688,0.2958570896160785,4.770108823181307,63.56301469013758,26.91398679235341,21.76447693108642,23.37993649985729,209.0325817551304,1.7515446079985737,0.0
