year,state_fips,county_fips,county_name,corn_yield_bu_acre,soybeans_yield_bu_acre,state_alpha,corn_price_per_bu,corn_ers_basis_cost_per_acre,corn_cost_escalation_ratio,corn_cost_per_acre,corn_revenue_per_acre,corn_profit_per_acre,corn_cost_basis_year,corn_ers_basis_price_per_bu,corn_price_vs_ers_basis_pct,corn_ers_baseline_net_value,soybeans_price_per_bu,soybeans_ers_basis_cost_per_acre,soybeans_cost_escalation_ratio,soybeans_cost_per_acre,soybeans_revenue_per_acre,soybeans_profit_per_acre,soybeans_cost_basis_year,soybeans_ers_basis_price_per_bu,soybeans_price_vs_ers_basis_pct,soybeans_ers_baseline_net_value,profit_edge_crop,profit_edge_dollars
2026,19,143,Osceola,191.53376626885208,69.96003520032382,IA,4.26,947.29,1.097906819716408,1040.036151249156,815.9338443053098,-224.10230694384632,2025,3.92,8.673469387755098,-108.05,11.6,697.51,1.097906819716408,765.8009858203917,811.5364083237563,45.73542250336459,2025,9.8,18.367346938775498,-110.15,soybeans,269.8377294472109
2026,17,153,Pulaski,184.03793246311218,63.07690448029033,IL,4.36,947.29,1.097906819716408,1040.036151249156,802.4053855391692,-237.63076570998692,2025,3.92,11.224489795918378,-108.05,11.8,697.51,1.097906819716408,765.8009858203917,744.307472867426,-21.493512952965716,2025,9.8,20.408163265306122,-110.15,soybeans,216.1372527570212
2026,31,179,Wayne,188.90407515583928,63.840970981418444,NE,4.25,772.8,1.097906819716408,848.46239027684,802.8423194123169,-45.620070864523086,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,740.555263384454,168.07371037972746,2025,9.37,23.799359658484533,-107.05,soybeans,213.69378124425054
2026,31,085,Hayes,167.72120353511687,55.958778985945585,NE,4.25,772.8,1.097906819716408,848.46239027684,712.8151150242467,-135.64727525259332,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,649.1218362369688,76.64028323224227,2025,9.37,23.799359658484533,-107.05,soybeans,212.28755848483559
2026,19,141,O'Brien,193.8975579667406,65.79178560081698,IA,4.26,947.29,1.097906819716408,1040.036151249156,826.0035969383149,-214.0325543108412,2025,3.92,8.673469387755098,-108.05,11.6,697.51,1.097906819716408,765.8009858203917,763.1847129694769,-2.616272850914811,2025,9.8,18.367346938775498,-110.15,soybeans,211.41628145992638
2026,19,059,Dickinson,200.45618566528196,68.20021779834212,IA,4.26,947.29,1.097906819716408,1040.036151249156,853.9433509341011,-186.092800315055,2025,3.92,8.673469387755098,-108.05,11.6,697.51,1.097906819716408,765.8009858203917,791.1225264607687,25.321540640376952,2025,9.8,18.367346938775498,-110.15,soybeans,211.41434095543195
2026,31,135,Perkins,149.59495095525926,48.65610462619323,NE,4.25,772.8,1.097906819716408,848.46239027684,635.7785415598519,-212.6838487169881,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,564.4108136638415,-8.070739340884984,2025,9.37,23.799359658484533,-107.05,soybeans,204.61310937610313
2026,31,145,Red Willow,149.9436576174839,48.72817814919099,NE,4.25,772.8,1.097906819716408,848.46239027684,637.2605448743066,-211.20184540253342,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,565.2468665306154,-7.234686474111072,2025,9.37,23.799359658484533,-107.05,soybeans,203.96715892842235
2026,31,063,Frontier,150.65642875512458,48.837930491236385,NE,4.25,772.8,1.097906819716408,848.46239027684,640.2898222092795,-208.17256806756052,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,566.5199936983421,-5.961559306384402,2025,9.37,23.799359658484533,-107.05,soybeans,202.21100876117612
2026,31,011,Boone,193.88703784008288,64.25945706019009,NE,4.25,772.8,1.097906819716408,848.46239027684,824.0199108203523,-24.442479456487717,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,745.409701898205,172.92814889347846,2025,9.37,23.799359658484533,-107.05,soybeans,197.37062834996618
2026,31,119,Madison,192.38304962626722,63.45484481700281,NE,4.25,772.8,1.097906819716408,848.46239027684,817.6279609116357,-30.8344293652043,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,736.0761998772325,163.59464687250602,2025,9.37,23.799359658484533,-107.05,soybeans,194.42907623771032
2026,31,101,Keith,157.23205516885187,50.54329647933203,NE,4.25,772.8,1.097906819716408,848.46239027684,668.2362344676204,-180.22615580921956,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,586.3022391602515,13.820686155524982,2025,9.37,23.799359658484533,-107.05,soybeans,194.04684196474454
2026,31,139,Pierce,185.77410667272497,60.96733182618063,NE,4.25,772.8,1.097906819716408,848.46239027684,789.5399533590811,-58.92243691775889,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,707.2210491836953,134.7394961789688,2025,9.37,23.799359658484533,-107.05,soybeans,193.6619330967277
2026,19,149,Plymouth,182.77785799545444,59.89026731618841,IA,4.26,947.29,1.097906819716408,1040.036151249156,778.6336750606358,-261.40247618852027,2025,3.92,8.673469387755098,-108.05,11.6,697.51,1.097906819716408,765.8009858203917,694.7271008677855,-71.07388495260625,2025,9.8,18.367346938775498,-110.15,soybeans,190.32859123591402
2026,19,063,Emmet,209.1222256754427,69.55308793655108,IA,4.26,947.29,1.097906819716408,1040.036151249156,890.8606813773858,-149.17546987177025,2025,3.92,8.673469387755098,-108.05,11.6,697.51,1.097906819716408,765.8009858203917,806.8158200639925,41.01483424360083,2025,9.8,18.367346938775498,-110.15,soybeans,190.19030411537108
2026,17,081,Jefferson,183.2244727365788,60.568001574928964,IL,4.36,947.29,1.097906819716408,1040.036151249156,798.8587011314836,-241.1774501176725,2025,3.92,11.224489795918378,-108.05,11.8,697.51,1.097906819716408,765.8009858203917,714.7024185841618,-51.09856723622988,2025,9.8,20.408163265306122,-110.15,soybeans,190.0788828814426
2026,19,035,Cherokee,183.4453450406441,59.52912949616391,IA,4.26,947.29,1.097906819716408,1040.036151249156,781.4771698731438,-258.5589813760123,2025,3.92,8.673469387755098,-108.05,11.6,697.51,1.097906819716408,765.8009858203917,690.5379021555013,-75.26308366489036,2025,9.8,18.367346938775498,-110.15,soybeans,183.29589771112194
2026,19,021,Buena Vista,205.61859194525422,67.4722431875969,IA,4.26,947.29,1.097906819716408,1040.036151249156,875.935201686783,-164.1009495623731,2025,3.92,8.673469387755098,-108.05,11.6,697.51,1.097906819716408,765.8009858203917,782.678020976124,16.8770351557323,2025,9.8,18.367346938775498,-110.15,soybeans,180.9779847181054
2026,31,003,Antelope,195.6612222953413,63.489136992883175,NE,4.25,772.8,1.097906819716408,848.46239027684,831.5601947552005,-16.90219552163944,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,736.4739891174448,163.99243611271834,2025,9.37,23.799359658484533,-107.05,soybeans,180.89463163435778
2026,19,195,Worth,207.04270835691818,67.92156934005389,IA,4.26,947.29,1.097906819716408,1040.036151249156,882.0019376004714,-158.03421364868473,2025,3.92,8.673469387755098,-108.05,11.6,697.51,1.097906819716408,765.8009858203917,787.8902043446251,22.089218524233388,2025,9.8,18.367346938775498,-110.15,soybeans,180.12343217291811
2026,31,027,Cedar,187.22300729132036,60.30455640476988,NE,4.25,772.8,1.097906819716408,848.46239027684,795.6977809881115,-52.76460928872848,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,699.5328542953306,127.0513012906041,2025,9.37,23.799359658484533,-107.05,soybeans,179.81591057933258
2026,31,183,Wheeler,191.3314713299778,61.78153015044277,NE,4.25,772.8,1.097906819716408,848.46239027684,813.1587531524057,-35.30363712443432,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,716.665749745136,144.18419674040956,2025,9.37,23.799359658484533,-107.05,soybeans,179.48783386484388
2026,31,077,Greeley,194.69649480526147,62.995116380500164,NE,4.25,772.8,1.097906819716408,848.46239027684,827.4601029223612,-21.002287354478767,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,730.7433500138019,158.2617970090754,2025,9.37,23.799359658484533,-107.05,soybeans,179.26408436355416
