year,state_fips,state_alpha,county_fips,county_name,yield_bu_acre,ndvi_mar,ndvi_apr,ndvi_may,precip_sum_mar,precip_sum_apr,precip_sum_may,tmean_mar,tmean_apr,tmean_may,tmax_mar,tmax_apr,tmax_may,tmin_mar,tmin_apr,tmin_may,soil_moisture_mar,soil_moisture_apr,soil_moisture_may,soil_organic_carbon,soil_ph,soil_clay_pct,soil_sand_pct,soil_water_content_33kpa,elevation_m,slope_deg,pct_continuous,edd_29c_mar,edd_29c_apr,edd_29c_may,gdd_10_30c_mar,gdd_10_30c_apr,gdd_10_30c_may,days_above_30c_mar,days_above_30c_apr,days_above_30c_may,days_above_35c_mar,days_above_35c_apr,days_above_35c_may,dry_days_mar,dry_days_apr,dry_days_may,heavy_rain_days_mar,heavy_rain_days_apr,heavy_rain_days_may
2013,17,IL,001,ADAMS,42.1,0.3928008261785773,0.6121938839292078,0.7102708901086386,66.69739879671003,210.82302534158396,256.09547148531965,0.9902186334209112,9.663507814455963,17.18928965476983,5.363378587230951,15.040612366327112,22.57264514921476,-3.382946223704209,4.287388322641003,11.806929634644405,0.3827191072041855,0.3804455487428754,0.3705041508458872,2.6583604150529183,61.74997143147954,21.63778863278405,14.486260862578574,24.109011228736723,201.1288649904863,3.109852193771446,0.0100157109190887,0.0,0.0,5.401682782801108,9.688047501143496,82.27541231916634,235.73797747614825,0.0,0.0,2.3442013593882747,0.0,0.0,0.0,22.4036533559898,18.96268054375531,17.745751911639758,0.0,2.090314358538658,3.9520603228547166
2015,17,IL,027,CLINTON,59.7,0.4274425476120126,0.6255935673417857,0.644297786276459,86.99218889150015,107.46538507181717,180.02780336531467,5.386011837563729,14.198160720664866,19.962360601699327,11.21658571867603,20.09376533787214,25.205738934302676,-0.4438914144448573,8.303531888870976,14.719989963057428,0.4684960839902386,0.4576365010641383,0.4419149566850986,2.4037556990320263,60.864069616463304,18.631030024866373,14.342203105225138,23.416615750703023,138.42610169639795,1.8582164511982109,0.0,0.0,0.0,1.333883594371036,54.30196512951665,160.94006617645093,304.0052660809709,0.0,0.0,0.0176563796876178,0.0,0.0,0.0,21.93427903116276,19.506111823738017,18.566362333056667,0.0256922960839055,1.2676375160341051,2.0030559118690103
2013,17,IL,037,DE KALB,70.2,0.2072609688964218,0.436218931440458,0.6220942114146841,57.04432646786845,192.23665113980405,95.6853823001676,-1.7854387548843578,7.301161920648615,16.055479233413305,2.110906312894679,12.677223808652291,22.154417541276914,-5.682234549877762,1.9259990376442255,9.957560458597246,0.3833193338058522,0.3773290131527342,0.3448163455266391,5.133728151970578,63.17602215578883,21.729065174160883,29.90354045677271,22.34426953648977,252.94204200918867,1.8452151683740377,0.0074682234414354,0.0,0.0,6.613149915624227,2.5979553899174728,56.88693256102292,213.598401636621,0.0,0.0,2.3337410399362843,0.0,0.0,0.0,22.02232904767323,17.98668790533623,19.06513824098305,0.0,1.7889691660029583,0.2196495619524405
2021,17,IL,037,DE KALB,78.8,0.3884496856736095,0.5953838048853588,0.6636401607223142,43.51357287749111,32.94318385510414,78.11409504568229,4.826410127006191,9.96610208834814,14.741938245189331,10.47842278267855,16.110637271210308,20.374717148433493,-0.7517302991322844,3.769839036626096,9.049182017978811,0.3909264525786269,0.3420378380043238,0.347609719568501,5.133728151970578,63.17602215578883,21.729065174160883,29.90354045677271,22.34426953648977,252.94204200918867,1.8452151683740377,0.0026361766134951,0.0,0.1339108863914767,2.541432684118097,40.30879423057875,97.7460907412709,189.6223871789975,0.0,0.0,1.0095858459437934,0.0,0.0,0.0,24.712339287746044,23.27685174650131,21.76322676072363,0.0260268517465013,0.0,0.5362669245647969
2022,17,IL,037,DE KALB,73.0,0.3700773389588593,0.5406789046692914,0.6240782937559793,77.57875661028635,107.88643806631374,102.9620530603897,2.8995502091997616,6.916473319579586,16.491805413135804,8.14661045010172,11.97880351040222,21.83368089014875,-2.347464472384348,1.8542736698429876,11.150070578995816,0.3801113133772039,0.3848665733887529,0.3655175322674117,5.133728151970578,63.17602215578883,21.729065174160883,29.90354045677271,22.34426953648977,252.94204200918867,1.8452151683740377,0.0025927017986233,0.0,0.0,18.491750861749612,35.04304353456229,47.84137304536662,211.57625512248592,0.0,0.0,5.997098646034814,0.0,0.0,0.0,20.015217885993856,18.50452269882808,18.881670269655263,0.0214188189782682,0.5352144726362499,0.5441176470588234
2023,17,IL,037,DE KALB,91.1,0.3590640917532332,0.5580621509708825,0.6570831898390288,58.26453790583288,78.37196804187938,36.51028541931521,1.864874939430098,9.456195634926988,16.17612310846941,6.542414930442153,16.322902130502833,22.96865660003026,-2.812598020906456,2.5896218183274176,9.383540619978085,0.3919634534667635,0.360656246647552,0.324651860011926,5.133728151970578,63.17602215578883,21.729065174160883,29.90354045677271,22.34426953648977,252.94204200918867,1.8452151683740377,0.0,0.0,0.0,3.752678526425772,6.52494486298682,104.40060465486938,211.6651487060205,0.0,0.0,2.0,0.0,0.0,0.0,20.937137330754357,19.514421435885776,24.47311980885197,0.0,0.1808795084765047,0.0129707589031744
2024,17,IL,037,DE KALB,92.5,0.4648169845153501,0.6684773763239041,0.7457210098538681,107.57755129375256,84.51842669569709,85.78544545335252,5.395590831536539,10.077627911504209,17.651984606441317,10.99516204477971,15.808893088825675,24.147365044294215,-0.2039803956607454,4.346362755382436,11.156604021207803,0.3745124945449614,0.3750011860787582,0.3711973828376516,5.133728151970578,63.17602215578883,21.729065174160883,29.90354045677271,22.34426953648977,252.94204200918867,1.8452151683740377,0.0215565825067628,0.0,0.0,3.635405583489617,44.74087121682248,101.20976044927149,237.60618105604996,0.0,0.0,1.3657697121401755,0.0,0.0,0.0,21.348674479462957,18.31712936625328,20.199084082375705,1.386904084651269,0.1667994083513482,0.1854590965980202
2025,17,IL,037,DE KALB,99.8,0.3347695154419599,0.5193910295610358,0.6829447648345984,90.45867051860412,61.28686008783694,35.20936622046269,5.657183718499585,9.438861879937296,14.85616837636726,11.817542101257503,15.570084810555356,21.19903988815952,-0.5031746699793798,3.3076388672399415,8.513296988843472,0.3779510497688283,0.3637395201577563,0.3393534495790642,5.133728151970578,63.17602215578883,21.729065174160883,29.90354045677271,22.34426953648977,252.94204200918867,1.8452151683740377,0.0042551061273528,0.0,0.0150494363910441,6.5157265076120225,56.576352247539155,88.77679825180397,176.70084046212085,0.0,0.0,1.655535328251223,0.0,0.0,0.0,19.231539424280367,20.70932415519399,23.5496074638753,0.6427067925816361,0.0,0.0285584253043577
2011,17,IL,075,IROQUOIS,72.1,0.3492859784212466,0.5236867611121356,0.6528019296385095,53.550083490562656,186.35674617192151,154.44863591175843,4.057160995994513,10.09544356100684,15.917157149544984,9.580911507730193,15.848274470324927,21.573602103271295,-1.4659810319012316,4.343602585404612,10.26172498144103,0.3751456707857135,0.3787978120501156,0.3698145080481498,4.153499671337348,63.48942676956941,25.928106694409156,27.268638271186916,23.056299085699195,203.4780698799007,1.746051631975748,0.0110006255257651,0.0,0.000495238014187,11.349468942585428,33.3691143207531,88.7641781462833,203.71475701899416,0.0,0.0,4.527699945927348,0.0,0.0,0.0,23.16210326238348,13.863949925445288,17.172458994904073,0.37010273804257,2.3476216225073334,1.9006374018909045
2013,17,IL,075,IROQUOIS,78.0,0.3256235285499872,0.4497092072138872,0.605091324379757,36.90632665638975,154.40845981438434,128.20419056013472,0.132896555888543,8.964678728745922,17.390698224416973,4.378075763061889,14.953618557469683,23.67497904936809,-4.112406692589423,2.976706555823016,11.107423965507731,0.3747216399477123,0.3718422723244987,0.3548681485541489,4.153499671337348,63.48942676956941,25.928106694409156,27.268638271186916,23.056299085699195,203.4780698799007,1.746051631975748,0.0037376054407809,0.0,0.0,9.350996250792097,5.401758788842229,82.52948487915816,244.32301988628876,0.0,0.0,3.7780727195267816,0.0,0.0,0.0,25.09395533271068,18.550394074947988,19.888266234085425,0.0,2.5437742712480955,1.3820151075718106
